nombre,giro,horario,direccion,latitud,longitud,ciudad
ZAPATERIA GERARD,ZAPATERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,REFORMA 11 F C.P. 56600 CHALCO,19.2624364,-98.895428,Chalco
CIBERNET,CIBER CAFÉ (CENTRO DE CONSULTA POR INTERNET),De 06:00 a 23:00 horas de Lunes a Domingo,JACARANDAS MZ9 LT 15 C.P. 56604,19.274881,-98.897273,Chalco
GASPER CHIPS,VENTA Y RENTA DE VIDEOJUEGOS,De 06:00 a 23:00 horas de Lunes a Domingo,SAN SEBASTIAN No.9,19.2606715,-98.900964,Chalco
PAPELERIA SUPER LAPIZ,PAPELERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,SAN SEBASTIAN No.9 LOCAL B C.P. 56600 CHALCO,19.2615274,-98.900449,Chalco
TACOS EL RODRI,TAQUERIA,De 06:00 a 02:00 horas de Lunes a Domingo,BENITO JUAREZ S/N C.P. 56640,19.2638721,-98.860344,Chalco
ANA NAILS,SALÓN DE BELLEZA/ ESTÉTICA,De 06:00 a 23:00 horas de Lunes a Domingo,AV. HIDALGO #10 LOCAL 36 C.P. 56600 CHALCO,19.2608387,-98.898035,Chalco
LOS DOS HERMANOS,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,MORELOS #40,19.2560074,-98.826178,Chalco
TIENDA ROSA,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,"SAN ISIDRO #13 C.P. 56600, CHALCO",19.2549781,-98.892408,Chalco
TXC,ZAPATERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,CUAUHTEMOC # 33 LOCAL PRIMER PISO C.P.56600 CHALCO,19.2612261,-98.897917,Chalco
CEART,ACADEMIAS DE EDUCACIÓN FÍSICA Y ARTÍSTICA,De 06:00 a 23:00 horas de Lunes a Domingo,LOS REYES # 13 C.P. 56600 CHALCO,19.2544932,-98.894655,Chalco
TELEFONIA CELULAR,AGENCIA DE TELEFONÍA CELULAR,De 06:00 a 23:00 horas de Lunes a Domingo,SAN SEBASTIAN No.9 LOCAL B C.P. 56600 CHALCO,19.2617097,-98.900352,Chalco
HELADOS Y PALETAS TRADICIONALES CHALCO,PALETERÍA Y NEVERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,"MORELOS # 58, C.P. 56600 CHALCO",19.2543412,-98.898974,Chalco
LUCY,BONETERÍA/MERCERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,BRAVO # 30 -C C.P. 56600 CHALCO,19.2552959,-98.897447,Chalco
DISEÑOS Y COMPOSTURAS DE ROPA BARBOSA,TALLER DE CORTE Y CONFECCIÓN,De 06:00 a 23:00 horas de Lunes a Domingo,ALVARO OBREGÓN No. 17,19.2651583,-98.896404,Chalco
ALEXIS CATALOGO,BOUTIQUE / TIENDA DE ROPA,De 06:00 a 23:00 horas de Lunes a Domingo,Riva Palacio # 2  local A  C.P. 56600,19.2617249,-98.897952,Chalco
COMPOSTURAS TERE,TALLER DE CORTE Y CONFECCIÓN,De 06:00 a 23:00 horas de Lunes a Domingo,BRAVO # 16-G C.P. 56600,19.258737,-98.895771,Chalco
ACUARIO ADILANDIA,ACUARIO,De 06:00 a 23:00 horas de Lunes a Domingo,BRAVO #15-A C.P. 56600 CHALCO,19.2595979,-98.895299,Chalco
LA HUERTA,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,SAN ISIDRO #18 LOCAL 12 C.P.56600 CHALCO,19.2555516,-98.892096,Chalco
COCHINITA Y ALGO MAS,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,SANTA CRUZ NO. 4 C.P. 56600 CHALCO,19.2551566,-98.903209,Chalco
HERRERIA Y ESTRUCTURAS GOMEZ,CONTRATISTA,De 06:00 a 23:00 horas de Lunes a Domingo,10 DE MAYO MZ 16 LT 9 C.P. 56600 CHALCO,19.2700653,-98.902359,Chalco
FARMACIA SACROMONTE,FARMACIA,24 horas del día de Lunes a Domingo,VICENTE GUERRERO # 12 C.P. 56644,19.2702324,-98.838865,Chalco
PRODUCTOS DE BELLEZA IRMA,PRODUCTOS DE BELLEZA,De 06:00 a 23:00 horas de Lunes a Domingo,HIDALGO No. 10 LOCAL 1,19.2608792,-98.898155,Chalco
VERDULERIA GUSTAVO,"RECAUDERIA, VERDULERÍA, FRUTERÍA",De 06:00 a 23:00 horas de Lunes a Domingo,EMILIANO ZAPATA ZN C.P. 56644,19.2734302,-98.83327,Chalco
AMANDA,POLLERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,FELIPE ANGELES S/N C.P. 56644,19.2749569,-98.829805,Chalco
CREMERIA LA GUERITA,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,FRANCISCO I. MADERO # 26 C.P. 56600 CHALCO,19.2654723,-98.899601,Chalco
ALAMOS,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,BOULEVARD  LOS ALAMOS MZ01 LT01 LOCAL 4 CONJUNTO URBANO LOS ALAMOS,19.2494794,-98.859068,Chalco
